ts,pair,side,rsi,sma_short,sma_long,price,qty,pnl,win,bal_jpy,bal_btc,bal_eth,bal_xrp,spread,slippage,status,depth_bid,depth_ask,volume_recent
1757799309775,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757799309783,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757799309898,btc_jpy,ask,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757799309898,btc_jpy,bid,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757799324898,btc_jpy,ask,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757799324898,btc_jpy,bid,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757799627240,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757799627597,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757799627614,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757799627722,btc_jpy,ask,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757799627722,btc_jpy,bid,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757799642722,btc_jpy,ask,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757799642722,btc_jpy,bid,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757799671163,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757799671454,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757799671463,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757799671667,btc_jpy,ask,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757799671667,btc_jpy,bid,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757799686667,btc_jpy,ask,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757799686667,btc_jpy,bid,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757799811053,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757799811280,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757799811289,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757799811427,btc_jpy,ask,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757799811427,btc_jpy,bid,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757799826427,btc_jpy,ask,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757799826427,btc_jpy,bid,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757799873503,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757799874011,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757799874020,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757799874258,btc_jpy,ask,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757799874258,btc_jpy,bid,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757799889258,btc_jpy,ask,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757799889258,btc_jpy,bid,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757801367363,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757801367625,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757801367633,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757801367790,btc_jpy,ask,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757801367790,btc_jpy,bid,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757801382790,btc_jpy,ask,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757801382790,btc_jpy,bid,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757803524138,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757803524434,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757803524442,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757803524537,btc_jpy,ask,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757803524537,btc_jpy,bid,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757803539537,btc_jpy,ask,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757803539537,btc_jpy,bid,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757803604986,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757803605472,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757803605483,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757803605797,btc_jpy,ask,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757803605797,btc_jpy,bid,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757803620797,btc_jpy,ask,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757803620797,btc_jpy,bid,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757804284562,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757804285132,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757804285142,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757804285302,btc_jpy,ask,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757804285302,btc_jpy,bid,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757804300302,btc_jpy,ask,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757804300302,btc_jpy,bid,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757804285473,btc_jpy,ask,66.66666666666666,1333.3333333333333,1192.3076923076924,110,0.5,5,1,,,,,,,,,,
1757804334100,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757804334477,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757804334489,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757804334834,btc_jpy,ask,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757804334834,btc_jpy,bid,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757804349834,btc_jpy,ask,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757804349834,btc_jpy,bid,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757804335056,btc_jpy,ask,66.66666666666666,1333.3333333333333,1230.7692307692307,110,0.5,5,1,,,,,,,,,,
1757804503920,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757804504179,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757804504186,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757804504282,btc_jpy,ask,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757804504282,btc_jpy,bid,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757804519282,btc_jpy,ask,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757804519282,btc_jpy,bid,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757804504480,btc_jpy,ask,66.66666666666666,1333.3333333333333,1269.2307692307693,110,0.5,5,1,,,,,,,,,,
1757807363956,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757807364227,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757807364237,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757807364418,btc_jpy,ask,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757807364418,btc_jpy,bid,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757807379418,btc_jpy,ask,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757807379418,btc_jpy,bid,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757807364602,btc_jpy,ask,50,1333.3333333333333,1307.6923076923076,110,0.5,5,1,,,,,,,,,,
